,HBName,CAName,Year,InjuryType,NumberofDeaths
2838,NHS Greater Glasgow and Clyde,Renfrewshire,2017,Falls,33
2839,NHS Greater Glasgow and Clyde,Renfrewshire,2017,"Struck by,against",0
2840,NHS Greater Glasgow and Clyde,Renfrewshire,2017,Crushing,0
2841,NHS Greater Glasgow and Clyde,Renfrewshire,2017,Scalds,1
2842,NHS Greater Glasgow and Clyde,Renfrewshire,2017,Accidental exposure,4
2843,NHS Greater Glasgow and Clyde,Renfrewshire,2017,Other,6
2845,NHS Greater Glasgow and Clyde,Renfrewshire,2018,Land transport accidents,5
2846,NHS Greater Glasgow and Clyde,Renfrewshire,2018,Poisoning,53
2847,NHS Greater Glasgow and Clyde,Renfrewshire,2018,Falls,23
2848,NHS Greater Glasgow and Clyde,Renfrewshire,2018,"Struck by,against",0
2849,NHS Greater Glasgow and Clyde,Renfrewshire,2018,Crushing,0
2850,NHS Greater Glasgow and Clyde,Renfrewshire,2018,Scalds,0
2851,NHS Greater Glasgow and Clyde,Renfrewshire,2018,Accidental exposure,3
2852,NHS Greater Glasgow and Clyde,Renfrewshire,2018,Other,9
2854,NHS Greater Glasgow and Clyde,Renfrewshire,2019,Land transport accidents,4
2855,NHS Greater Glasgow and Clyde,Renfrewshire,2019,Poisoning,49
2856,NHS Greater Glasgow and Clyde,Renfrewshire,2019,Falls,30
2857,NHS Greater Glasgow and Clyde,Renfrewshire,2019,"Struck by,against",0
2858,NHS Greater Glasgow and Clyde,Renfrewshire,2019,Crushing,0
2859,NHS Greater Glasgow and Clyde,Renfrewshire,2019,Scalds,0
2860,NHS Greater Glasgow and Clyde,Renfrewshire,2019,Accidental exposure,2
2861,NHS Greater Glasgow and Clyde,Renfrewshire,2019,Other,0
2863,NHS Greater Glasgow and Clyde,Renfrewshire,2020,Land transport accidents,4
2864,NHS Greater Glasgow and Clyde,Renfrewshire,2020,Poisoning,65
2865,NHS Greater Glasgow and Clyde,Renfrewshire,2020,Falls,20
2866,NHS Greater Glasgow and Clyde,Renfrewshire,2020,"Struck by,against",0
2867,NHS Greater Glasgow and Clyde,Renfrewshire,2020,Crushing,0
2868,NHS Greater Glasgow and Clyde,Renfrewshire,2020,Scalds,0
2869,NHS Greater Glasgow and Clyde,Renfrewshire,2020,Accidental exposure,4
2870,NHS Greater Glasgow and Clyde,Renfrewshire,2020,Other,3
2872,NHS Greater Glasgow and Clyde,Renfrewshire,2021,Land transport accidents,1
2873,NHS Greater Glasgow and Clyde,Renfrewshire,2021,Poisoning,53
2874,NHS Greater Glasgow and Clyde,Renfrewshire,2021,Falls,41
2875,NHS Greater Glasgow and Clyde,Renfrewshire,2021,"Struck by,against",0
2876,NHS Greater Glasgow and Clyde,Renfrewshire,2021,Crushing,0
2877,NHS Greater Glasgow and Clyde,Renfrewshire,2021,Scalds,0
2878,NHS Greater Glasgow and Clyde,Renfrewshire,2021,Accidental exposure,7
2879,NHS Greater Glasgow and Clyde,Renfrewshire,2021,Other,3
2881,NHS Greater Glasgow and Clyde,West Dunbartonshire,2012,Land transport accidents,5
2882,NHS Greater Glasgow and Clyde,West Dunbartonshire,2012,Poisoning,25
2883,NHS Greater Glasgow and Clyde,West Dunbartonshire,2012,Falls,14
2884,NHS Greater Glasgow and Clyde,West Dunbartonshire,2012,"Struck by,against",0
2885,NHS Greater Glasgow and Clyde,West Dunbartonshire,2012,Crushing,0
2886,NHS Greater Glasgow and Clyde,West Dunbartonshire,2012,Scalds,0
2887,NHS Greater Glasgow and Clyde,West Dunbartonshire,2012,Accidental exposure,1
2888,NHS Greater Glasgow and Clyde,West Dunbartonshire,2012,Other,2
2890,NHS Greater Glasgow and Clyde,West Dunbartonshire,2013,Land transport accidents,5
2891,NHS Greater Glasgow and Clyde,West Dunbartonshire,2013,Poisoning,10
2892,NHS Greater Glasgow and Clyde,West Dunbartonshire,2013,Falls,18
2893,NHS Greater Glasgow and Clyde,West Dunbartonshire,2013,"Struck by,against",0
2894,NHS Greater Glasgow and Clyde,West Dunbartonshire,2013,Crushing,0
2895,NHS Greater Glasgow and Clyde,West Dunbartonshire,2013,Scalds,0
2896,NHS Greater Glasgow and Clyde,West Dunbartonshire,2013,Accidental exposure,3
2897,NHS Greater Glasgow and Clyde,West Dunbartonshire,2013,Other,5
2899,NHS Greater Glasgow and Clyde,West Dunbartonshire,2014,Land transport accidents,6
2900,NHS Greater Glasgow and Clyde,West Dunbartonshire,2014,Poisoning,20
2901,NHS Greater Glasgow and Clyde,West Dunbartonshire,2014,Falls,10
2902,NHS Greater Glasgow and Clyde,West Dunbartonshire,2014,"Struck by,against",0
2903,NHS Greater Glasgow and Clyde,West Dunbartonshire,2014,Crushing,0
2904,NHS Greater Glasgow and Clyde,West Dunbartonshire,2014,Scalds,0
2905,NHS Greater Glasgow and Clyde,West Dunbartonshire,2014,Accidental exposure,2
2906,NHS Greater Glasgow and Clyde,West Dunbartonshire,2014,Other,2
2908,NHS Greater Glasgow and Clyde,West Dunbartonshire,2015,Land transport accidents,1
2909,NHS Greater Glasgow and Clyde,West Dunbartonshire,2015,Poisoning,11
2910,NHS Greater Glasgow and Clyde,West Dunbartonshire,2015,Falls,11
2911,NHS Greater Glasgow and Clyde,West Dunbartonshire,2015,"Struck by,against",0
2912,NHS Greater Glasgow and Clyde,West Dunbartonshire,2015,Crushing,0
2913,NHS Greater Glasgow and Clyde,West Dunbartonshire,2015,Scalds,0
2914,NHS Greater Glasgow and Clyde,West Dunbartonshire,2015,Accidental exposure,1
2915,NHS Greater Glasgow and Clyde,West Dunbartonshire,2015,Other,1
2917,NHS Greater Glasgow and Clyde,West Dunbartonshire,2016,Land transport accidents,3
2918,NHS Greater Glasgow and Clyde,West Dunbartonshire,2016,Poisoning,19
2919,NHS Greater Glasgow and Clyde,West Dunbartonshire,2016,Falls,23
2920,NHS Greater Glasgow and Clyde,West Dunbartonshire,2016,"Struck by,against",0
2921,NHS Greater Glasgow and Clyde,West Dunbartonshire,2016,Crushing,0
2922,NHS Greater Glasgow and Clyde,West Dunbartonshire,2016,Scalds,0
2923,NHS Greater Glasgow and Clyde,West Dunbartonshire,2016,Accidental exposure,2
2924,NHS Greater Glasgow and Clyde,West Dunbartonshire,2016,Other,1
2926,NHS Greater Glasgow and Clyde,West Dunbartonshire,2017,Land transport accidents,3
2927,NHS Greater Glasgow and Clyde,West Dunbartonshire,2017,Poisoning,18
2928,NHS Greater Glasgow and Clyde,West Dunbartonshire,2017,Falls,22
2929,NHS Greater Glasgow and Clyde,West Dunbartonshire,2017,"Struck by,against",0
2930,NHS Greater Glasgow and Clyde,West Dunbartonshire,2017,Crushing,0
2931,NHS Greater Glasgow and Clyde,West Dunbartonshire,2017,Scalds,0
2932,NHS Greater Glasgow and Clyde,West Dunbartonshire,2017,Accidental exposure,4
2933,NHS Greater Glasgow and Clyde,West Dunbartonshire,2017,Other,4
2935,NHS Greater Glasgow and Clyde,West Dunbartonshire,2018,Land transport accidents,1
2936,NHS Greater Glasgow and Clyde,West Dunbartonshire,2018,Poisoning,25
2937,NHS Greater Glasgow and Clyde,West Dunbartonshire,2018,Falls,11
2938,NHS Greater Glasgow and Clyde,West Dunbartonshire,2018,"Struck by,against",0
2939,NHS Greater Glasgow and Clyde,West Dunbartonshire,2018,Crushing,0
2940,NHS Greater Glasgow and Clyde,West Dunbartonshire,2018,Scalds,0
2941,NHS Greater Glasgow and Clyde,West Dunbartonshire,2018,Accidental exposure,3
2942,NHS Greater Glasgow and Clyde,West Dunbartonshire,2018,Other,3
2944,NHS Greater Glasgow and Clyde,West Dunbartonshire,2019,Land transport accidents,2
2945,NHS Greater Glasgow and Clyde,West Dunbartonshire,2019,Poisoning,28
2946,NHS Greater Glasgow and Clyde,West Dunbartonshire,2019,Falls,21
2947,NHS Greater Glasgow and Clyde,West Dunbartonshire,2019,"Struck by,against",0
2948,NHS Greater Glasgow and Clyde,West Dunbartonshire,2019,Crushing,0
2949,NHS Greater Glasgow and Clyde,West Dunbartonshire,2019,Scalds,0
2950,NHS Greater Glasgow and Clyde,West Dunbartonshire,2019,Accidental exposure,2
2951,NHS Greater Glasgow and Clyde,West Dunbartonshire,2019,Other,0
2953,NHS Greater Glasgow and Clyde,West Dunbartonshire,2020,Land transport accidents,3
2954,NHS Greater Glasgow and Clyde,West Dunbartonshire,2020,Poisoning,31
2955,NHS Greater Glasgow and Clyde,West Dunbartonshire,2020,Falls,20
2956,NHS Greater Glasgow and Clyde,West Dunbartonshire,2020,"Struck by,against",0
2957,NHS Greater Glasgow and Clyde,West Dunbartonshire,2020,Crushing,0
2958,NHS Greater Glasgow and Clyde,West Dunbartonshire,2020,Scalds,0
2959,NHS Greater Glasgow and Clyde,West Dunbartonshire,2020,Accidental exposure,1
2960,NHS Greater Glasgow and Clyde,West Dunbartonshire,2020,Other,5
2962,NHS Greater Glasgow and Clyde,West Dunbartonshire,2021,Land transport accidents,1
2963,NHS Greater Glasgow and Clyde,West Dunbartonshire,2021,Poisoning,29
2964,NHS Greater Glasgow and Clyde,West Dunbartonshire,2021,Falls,18
2965,NHS Greater Glasgow and Clyde,West Dunbartonshire,2021,"Struck by,against",0
2966,NHS Greater Glasgow and Clyde,West Dunbartonshire,2021,Crushing,0
2967,NHS Greater Glasgow and Clyde,West Dunbartonshire,2021,Scalds,0
2968,NHS Greater Glasgow and Clyde,West Dunbartonshire,2021,Accidental exposure,5
2969,NHS Greater Glasgow and Clyde,West Dunbartonshire,2021,Other,5
2971,NHS Greater Glasgow and Clyde,West Dunbartonshire,2012,Land transport accidents,5
2972,NHS Greater Glasgow and Clyde,West Dunbartonshire,2012,Poisoning,25
2973,NHS Greater Glasgow and Clyde,West Dunbartonshire,2012,Falls,14
2974,NHS Greater Glasgow and Clyde,West Dunbartonshire,2012,"Struck by,against",0
2975,NHS Greater Glasgow and Clyde,West Dunbartonshire,2012,Crushing,0
2976,NHS Greater Glasgow and Clyde,West Dunbartonshire,2012,Scalds,0
2977,NHS Greater Glasgow and Clyde,West Dunbartonshire,2012,Accidental exposure,1
2978,NHS Greater Glasgow and Clyde,West Dunbartonshire,2012,Other,2
2980,NHS Greater Glasgow and Clyde,West Dunbartonshire,2013,Land transport accidents,5
2981,NHS Greater Glasgow and Clyde,West Dunbartonshire,2013,Poisoning,10
2982,NHS Greater Glasgow and Clyde,West Dunbartonshire,2013,Falls,18
2983,NHS Greater Glasgow and Clyde,West Dunbartonshire,2013,"Struck by,against",0
2984,NHS Greater Glasgow and Clyde,West Dunbartonshire,2013,Crushing,0
2985,NHS Greater Glasgow and Clyde,West Dunbartonshire,2013,Scalds,0
2986,NHS Greater Glasgow and Clyde,West Dunbartonshire,2013,Accidental exposure,3
2987,NHS Greater Glasgow and Clyde,West Dunbartonshire,2013,Other,5
2989,NHS Greater Glasgow and Clyde,West Dunbartonshire,2014,Land transport accidents,6
2990,NHS Greater Glasgow and Clyde,West Dunbartonshire,2014,Poisoning,20
2991,NHS Greater Glasgow and Clyde,West Dunbartonshire,2014,Falls,10
2992,NHS Greater Glasgow and Clyde,West Dunbartonshire,2014,"Struck by,against",0
2993,NHS Greater Glasgow and Clyde,West Dunbartonshire,2014,Crushing,0
2994,NHS Greater Glasgow and Clyde,West Dunbartonshire,2014,Scalds,0
2995,NHS Greater Glasgow and Clyde,West Dunbartonshire,2014,Accidental exposure,2
2996,NHS Greater Glasgow and Clyde,West Dunbartonshire,2014,Other,2
2998,NHS Greater Glasgow and Clyde,West Dunbartonshire,2015,Land transport accidents,1
2999,NHS Greater Glasgow and Clyde,West Dunbartonshire,2015,Poisoning,11
3000,NHS Greater Glasgow and Clyde,West Dunbartonshire,2015,Falls,11
3001,NHS Greater Glasgow and Clyde,West Dunbartonshire,2015,"Struck by,against",0
3002,NHS Greater Glasgow and Clyde,West Dunbartonshire,2015,Crushing,0
3003,NHS Greater Glasgow and Clyde,West Dunbartonshire,2015,Scalds,0
3004,NHS Greater Glasgow and Clyde,West Dunbartonshire,2015,Accidental exposure,1
3005,NHS Greater Glasgow and Clyde,West Dunbartonshire,2015,Other,1
3007,NHS Greater Glasgow and Clyde,West Dunbartonshire,2016,Land transport accidents,3
3008,NHS Greater Glasgow and Clyde,West Dunbartonshire,2016,Poisoning,19
3009,NHS Greater Glasgow and Clyde,West Dunbartonshire,2016,Falls,23
3010,NHS Greater Glasgow and Clyde,West Dunbartonshire,2016,"Struck by,against",0
3011,NHS Greater Glasgow and Clyde,West Dunbartonshire,2016,Crushing,0
3012,NHS Greater Glasgow and Clyde,West Dunbartonshire,2016,Scalds,0
3013,NHS Greater Glasgow and Clyde,West Dunbartonshire,2016,Accidental exposure,2
3014,NHS Greater Glasgow and Clyde,West Dunbartonshire,2016,Other,1
3016,NHS Greater Glasgow and Clyde,West Dunbartonshire,2017,Land transport accidents,3
3017,NHS Greater Glasgow and Clyde,West Dunbartonshire,2017,Poisoning,18
3018,NHS Greater Glasgow and Clyde,West Dunbartonshire,2017,Falls,22
3019,NHS Greater Glasgow and Clyde,West Dunbartonshire,2017,"Struck by,against",0
3020,NHS Greater Glasgow and Clyde,West Dunbartonshire,2017,Crushing,0
3021,NHS Greater Glasgow and Clyde,West Dunbartonshire,2017,Scalds,0
3022,NHS Greater Glasgow and Clyde,West Dunbartonshire,2017,Accidental exposure,4
3023,NHS Greater Glasgow and Clyde,West Dunbartonshire,2017,Other,4
3025,NHS Greater Glasgow and Clyde,West Dunbartonshire,2018,Land transport accidents,1
3026,NHS Greater Glasgow and Clyde,West Dunbartonshire,2018,Poisoning,25
3027,NHS Greater Glasgow and Clyde,West Dunbartonshire,2018,Falls,11
3028,NHS Greater Glasgow and Clyde,West Dunbartonshire,2018,"Struck by,against",0
3029,NHS Greater Glasgow and Clyde,West Dunbartonshire,2018,Crushing,0
3030,NHS Greater Glasgow and Clyde,West Dunbartonshire,2018,Scalds,0
3031,NHS Greater Glasgow and Clyde,West Dunbartonshire,2018,Accidental exposure,3
3032,NHS Greater Glasgow and Clyde,West Dunbartonshire,2018,Other,3
3034,NHS Greater Glasgow and Clyde,West Dunbartonshire,2019,Land transport accidents,2
3035,NHS Greater Glasgow and Clyde,West Dunbartonshire,2019,Poisoning,28
3036,NHS Greater Glasgow and Clyde,West Dunbartonshire,2019,Falls,21
3037,NHS Greater Glasgow and Clyde,West Dunbartonshire,2019,"Struck by,against",0
3038,NHS Greater Glasgow and Clyde,West Dunbartonshire,2019,Crushing,0
3039,NHS Greater Glasgow and Clyde,West Dunbartonshire,2019,Scalds,0
3040,NHS Greater Glasgow and Clyde,West Dunbartonshire,2019,Accidental exposure,2
3041,NHS Greater Glasgow and Clyde,West Dunbartonshire,2019,Other,0
3043,NHS Greater Glasgow and Clyde,West Dunbartonshire,2020,Land transport accidents,3
3044,NHS Greater Glasgow and Clyde,West Dunbartonshire,2020,Poisoning,31
3045,NHS Greater Glasgow and Clyde,West Dunbartonshire,2020,Falls,20
3046,NHS Greater Glasgow and Clyde,West Dunbartonshire,2020,"Struck by,against",0
3047,NHS Greater Glasgow and Clyde,West Dunbartonshire,2020,Crushing,0
3048,NHS Greater Glasgow and Clyde,West Dunbartonshire,2020,Scalds,0
3049,NHS Greater Glasgow and Clyde,West Dunbartonshire,2020,Accidental exposure,1
3050,NHS Greater Glasgow and Clyde,West Dunbartonshire,2020,Other,5
3052,NHS Greater Glasgow and Clyde,West Dunbartonshire,2021,Land transport accidents,1
3053,NHS Greater Glasgow and Clyde,West Dunbartonshire,2021,Poisoning,29
3054,NHS Greater Glasgow and Clyde,West Dunbartonshire,2021,Falls,18
3055,NHS Greater Glasgow and Clyde,West Dunbartonshire,2021,"Struck by,against",0
3056,NHS Greater Glasgow and Clyde,West Dunbartonshire,2021,Crushing,0
3057,NHS Greater Glasgow and Clyde,West Dunbartonshire,2021,Scalds,0
3058,NHS Greater Glasgow and Clyde,West Dunbartonshire,2021,Accidental exposure,5
3059,NHS Greater Glasgow and Clyde,West Dunbartonshire,2021,Other,5
3061,NHS Greater Glasgow and Clyde,East Dunbartonshire,2012,Land transport accidents,1
3062,NHS Greater Glasgow and Clyde,East Dunbartonshire,2012,Poisoning,3
3063,NHS Greater Glasgow and Clyde,East Dunbartonshire,2012,Falls,13
3064,NHS Greater Glasgow and Clyde,East Dunbartonshire,2012,"Struck by,against",0
3065,NHS Greater Glasgow and Clyde,East Dunbartonshire,2012,Crushing,0
3066,NHS Greater Glasgow and Clyde,East Dunbartonshire,2012,Scalds,0
3067,NHS Greater Glasgow and Clyde,East Dunbartonshire,2012,Accidental exposure,3
3068,NHS Greater Glasgow and Clyde,East Dunbartonshire,2012,Other,4
3070,NHS Greater Glasgow and Clyde,East Dunbartonshire,2013,Land transport accidents,1
3071,NHS Greater Glasgow and Clyde,East Dunbartonshire,2013,Poisoning,2
3072,NHS Greater Glasgow and Clyde,East Dunbartonshire,2013,Falls,20
3073,NHS Greater Glasgow and Clyde,East Dunbartonshire,2013,"Struck by,against",0
3074,NHS Greater Glasgow and Clyde,East Dunbartonshire,2013,Crushing,0
3075,NHS Greater Glasgow and Clyde,East Dunbartonshire,2013,Scalds,0
3076,NHS Greater Glasgow and Clyde,East Dunbartonshire,2013,Accidental exposure,0
3077,NHS Greater Glasgow and Clyde,East Dunbartonshire,2013,Other,3
3079,NHS Greater Glasgow and Clyde,East Dunbartonshire,2014,Land transport accidents,2
3080,NHS Greater Glasgow and Clyde,East Dunbartonshire,2014,Poisoning,5
3081,NHS Greater Glasgow and Clyde,East Dunbartonshire,2014,Falls,17
3082,NHS Greater Glasgow and Clyde,East Dunbartonshire,2014,"Struck by,against",0
3083,NHS Greater Glasgow and Clyde,East Dunbartonshire,2014,Crushing,0
3084,NHS Greater Glasgow and Clyde,East Dunbartonshire,2014,Scalds,0
3085,NHS Greater Glasgow and Clyde,East Dunbartonshire,2014,Accidental exposure,0
3086,NHS Greater Glasgow and Clyde,East Dunbartonshire,2014,Other,0
3088,NHS Greater Glasgow and Clyde,East Dunbartonshire,2015,Land transport accidents,2
3089,NHS Greater Glasgow and Clyde,East Dunbartonshire,2015,Poisoning,8
3090,NHS Greater Glasgow and Clyde,East Dunbartonshire,2015,Falls,17
3091,NHS Greater Glasgow and Clyde,East Dunbartonshire,2015,"Struck by,against",0
3092,NHS Greater Glasgow and Clyde,East Dunbartonshire,2015,Crushing,0
3093,NHS Greater Glasgow and Clyde,East Dunbartonshire,2015,Scalds,0
3094,NHS Greater Glasgow and Clyde,East Dunbartonshire,2015,Accidental exposure,2
3095,NHS Greater Glasgow and Clyde,East Dunbartonshire,2015,Other,5
3097,NHS Greater Glasgow and Clyde,East Dunbartonshire,2016,Land transport accidents,3
3098,NHS Greater Glasgow and Clyde,East Dunbartonshire,2016,Poisoning,9
3099,NHS Greater Glasgow and Clyde,East Dunbartonshire,2016,Falls,29
3100,NHS Greater Glasgow and Clyde,East Dunbartonshire,2016,"Struck by,against",0
3101,NHS Greater Glasgow and Clyde,East Dunbartonshire,2016,Crushing,0
3102,NHS Greater Glasgow and Clyde,East Dunbartonshire,2016,Scalds,0
3103,NHS Greater Glasgow and Clyde,East Dunbartonshire,2016,Accidental exposure,0
3104,NHS Greater Glasgow and Clyde,East Dunbartonshire,2016,Other,1
3106,NHS Greater Glasgow and Clyde,East Dunbartonshire,2017,Land transport accidents,0
3107,NHS Greater Glasgow and Clyde,East Dunbartonshire,2017,Poisoning,10
3108,NHS Greater Glasgow and Clyde,East Dunbartonshire,2017,Falls,25
3109,NHS Greater Glasgow and Clyde,East Dunbartonshire,2017,"Struck by,against",0
3110,NHS Greater Glasgow and Clyde,East Dunbartonshire,2017,Crushing,0
3111,NHS Greater Glasgow and Clyde,East Dunbartonshire,2017,Scalds,0
3112,NHS Greater Glasgow and Clyde,East Dunbartonshire,2017,Accidental exposure,4
3113,NHS Greater Glasgow and Clyde,East Dunbartonshire,2017,Other,0
3115,NHS Greater Glasgow and Clyde,East Dunbartonshire,2018,Land transport accidents,0
3116,NHS Greater Glasgow and Clyde,East Dunbartonshire,2018,Poisoning,9
3117,NHS Greater Glasgow and Clyde,East Dunbartonshire,2018,Falls,11
3118,NHS Greater Glasgow and Clyde,East Dunbartonshire,2018,"Struck by,against",0
3119,NHS Greater Glasgow and Clyde,East Dunbartonshire,2018,Crushing,0
3120,NHS Greater Glasgow and Clyde,East Dunbartonshire,2018,Scalds,0
3121,NHS Greater Glasgow and Clyde,East Dunbartonshire,2018,Accidental exposure,2
3122,NHS Greater Glasgow and Clyde,East Dunbartonshire,2018,Other,0
3124,NHS Greater Glasgow and Clyde,East Dunbartonshire,2019,Land transport accidents,2
3125,NHS Greater Glasgow and Clyde,East Dunbartonshire,2019,Poisoning,9
3126,NHS Greater Glasgow and Clyde,East Dunbartonshire,2019,Falls,21
3127,NHS Greater Glasgow and Clyde,East Dunbartonshire,2019,"Struck by,against",0
3128,NHS Greater Glasgow and Clyde,East Dunbartonshire,2019,Crushing,0
3129,NHS Greater Glasgow and Clyde,East Dunbartonshire,2019,Scalds,0
3130,NHS Greater Glasgow and Clyde,East Dunbartonshire,2019,Accidental exposure,1
3131,NHS Greater Glasgow and Clyde,East Dunbartonshire,2019,Other,4
3133,NHS Greater Glasgow and Clyde,East Dunbartonshire,2020,Land transport accidents,2
3134,NHS Greater Glasgow and Clyde,East Dunbartonshire,2020,Poisoning,15
3135,NHS Greater Glasgow and Clyde,East Dunbartonshire,2020,Falls,24
3136,NHS Greater Glasgow and Clyde,East Dunbartonshire,2020,"Struck by,against",0
3137,NHS Greater Glasgow and Clyde,East Dunbartonshire,2020,Crushing,0
3138,NHS Greater Glasgow and Clyde,East Dunbartonshire,2020,Scalds,0
3139,NHS Greater Glasgow and Clyde,East Dunbartonshire,2020,Accidental exposure,3
3140,NHS Greater Glasgow and Clyde,East Dunbartonshire,2020,Other,4
3142,NHS Greater Glasgow and Clyde,East Dunbartonshire,2021,Land transport accidents,1
3143,NHS Greater Glasgow and Clyde,East Dunbartonshire,2021,Poisoning,16
3144,NHS Greater Glasgow and Clyde,East Dunbartonshire,2021,Falls,15
3145,NHS Greater Glasgow and Clyde,East Dunbartonshire,2021,"Struck by,against",0
3146,NHS Greater Glasgow and Clyde,East Dunbartonshire,2021,Crushing,0
3147,NHS Greater Glasgow and Clyde,East Dunbartonshire,2021,Scalds,0
3148,NHS Greater Glasgow and Clyde,East Dunbartonshire,2021,Accidental exposure,2
3149,NHS Greater Glasgow and Clyde,East Dunbartonshire,2021,Other,2
3151,NHS Greater Glasgow and Clyde,East Dunbartonshire,2012,Land transport accidents,1
3152,NHS Greater Glasgow and Clyde,East Dunbartonshire,2012,Poisoning,3
3153,NHS Greater Glasgow and Clyde,East Dunbartonshire,2012,Falls,13
3154,NHS Greater Glasgow and Clyde,East Dunbartonshire,2012,"Struck by,against",0
3155,NHS Greater Glasgow and Clyde,East Dunbartonshire,2012,Crushing,0
3156,NHS Greater Glasgow and Clyde,East Dunbartonshire,2012,Scalds,0
3157,NHS Greater Glasgow and Clyde,East Dunbartonshire,2012,Accidental exposure,3
3158,NHS Greater Glasgow and Clyde,East Dunbartonshire,2012,Other,4
3160,NHS Greater Glasgow and Clyde,East Dunbartonshire,2013,Land transport accidents,1
3161,NHS Greater Glasgow and Clyde,East Dunbartonshire,2013,Poisoning,2
3162,NHS Greater Glasgow and Clyde,East Dunbartonshire,2013,Falls,20
3163,NHS Greater Glasgow and Clyde,East Dunbartonshire,2013,"Struck by,against",0
3164,NHS Greater Glasgow and Clyde,East Dunbartonshire,2013,Crushing,0
3165,NHS Greater Glasgow and Clyde,East Dunbartonshire,2013,Scalds,0
3166,NHS Greater Glasgow and Clyde,East Dunbartonshire,2013,Accidental exposure,0
3167,NHS Greater Glasgow and Clyde,East Dunbartonshire,2013,Other,3
3169,NHS Greater Glasgow and Clyde,East Dunbartonshire,2014,Land transport accidents,2
3170,NHS Greater Glasgow and Clyde,East Dunbartonshire,2014,Poisoning,5
3171,NHS Greater Glasgow and Clyde,East Dunbartonshire,2014,Falls,17
3172,NHS Greater Glasgow and Clyde,East Dunbartonshire,2014,"Struck by,against",0
3173,NHS Greater Glasgow and Clyde,East Dunbartonshire,2014,Crushing,0
3174,NHS Greater Glasgow and Clyde,East Dunbartonshire,2014,Scalds,0
3175,NHS Greater Glasgow and Clyde,East Dunbartonshire,2014,Accidental exposure,0
3176,NHS Greater Glasgow and Clyde,East Dunbartonshire,2014,Other,0
3178,NHS Greater Glasgow and Clyde,East Dunbartonshire,2015,Land transport accidents,2
3179,NHS Greater Glasgow and Clyde,East Dunbartonshire,2015,Poisoning,8
3180,NHS Greater Glasgow and Clyde,East Dunbartonshire,2015,Falls,17
3181,NHS Greater Glasgow and Clyde,East Dunbartonshire,2015,"Struck by,against",0
3182,NHS Greater Glasgow and Clyde,East Dunbartonshire,2015,Crushing,0
3183,NHS Greater Glasgow and Clyde,East Dunbartonshire,2015,Scalds,0
3184,NHS Greater Glasgow and Clyde,East Dunbartonshire,2015,Accidental exposure,2
3185,NHS Greater Glasgow and Clyde,East Dunbartonshire,2015,Other,5
3187,NHS Greater Glasgow and Clyde,East Dunbartonshire,2016,Land transport accidents,3
3188,NHS Greater Glasgow and Clyde,East Dunbartonshire,2016,Poisoning,9
3189,NHS Greater Glasgow and Clyde,East Dunbartonshire,2016,Falls,29
3190,NHS Greater Glasgow and Clyde,East Dunbartonshire,2016,"Struck by,against",0
3191,NHS Greater Glasgow and Clyde,East Dunbartonshire,2016,Crushing,0
3192,NHS Greater Glasgow and Clyde,East Dunbartonshire,2016,Scalds,0
3193,NHS Greater Glasgow and Clyde,East Dunbartonshire,2016,Accidental exposure,0
3194,NHS Greater Glasgow and Clyde,East Dunbartonshire,2016,Other,1
3196,NHS Greater Glasgow and Clyde,East Dunbartonshire,2017,Land transport accidents,0
3197,NHS Greater Glasgow and Clyde,East Dunbartonshire,2017,Poisoning,10
3198,NHS Greater Glasgow and Clyde,East Dunbartonshire,2017,Falls,25
3199,NHS Greater Glasgow and Clyde,East Dunbartonshire,2017,"Struck by,against",0
3200,NHS Greater Glasgow and Clyde,East Dunbartonshire,2017,Crushing,0
3201,NHS Greater Glasgow and Clyde,East Dunbartonshire,2017,Scalds,0
3202,NHS Greater Glasgow and Clyde,East Dunbartonshire,2017,Accidental exposure,4
3203,NHS Greater Glasgow and Clyde,East Dunbartonshire,2017,Other,0
3205,NHS Greater Glasgow and Clyde,East Dunbartonshire,2018,Land transport accidents,0
3206,NHS Greater Glasgow and Clyde,East Dunbartonshire,2018,Poisoning,9
3207,NHS Greater Glasgow and Clyde,East Dunbartonshire,2018,Falls,11
3208,NHS Greater Glasgow and Clyde,East Dunbartonshire,2018,"Struck by,against",0
3209,NHS Greater Glasgow and Clyde,East Dunbartonshire,2018,Crushing,0
3210,NHS Greater Glasgow and Clyde,East Dunbartonshire,2018,Scalds,0
3211,NHS Greater Glasgow and Clyde,East Dunbartonshire,2018,Accidental exposure,2
3212,NHS Greater Glasgow and Clyde,East Dunbartonshire,2018,Other,0
3214,NHS Greater Glasgow and Clyde,East Dunbartonshire,2019,Land transport accidents,2
3215,NHS Greater Glasgow and Clyde,East Dunbartonshire,2019,Poisoning,9
3216,NHS Greater Glasgow and Clyde,East Dunbartonshire,2019,Falls,21
3217,NHS Greater Glasgow and Clyde,East Dunbartonshire,2019,"Struck by,against",0
3218,NHS Greater Glasgow and Clyde,East Dunbartonshire,2019,Crushing,0
3219,NHS Greater Glasgow and Clyde,East Dunbartonshire,2019,Scalds,0
3220,NHS Greater Glasgow and Clyde,East Dunbartonshire,2019,Accidental exposure,1
3221,NHS Greater Glasgow and Clyde,East Dunbartonshire,2019,Other,4
3223,NHS Greater Glasgow and Clyde,East Dunbartonshire,2020,Land transport accidents,2
